date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2021-05-15, 09:42:10	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:12	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:14	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:16	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:18	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:20	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:22	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:24	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:26	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:28	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:30	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:32	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:34	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:36	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:38	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:40	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:42	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:44	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:46	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:48	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:50	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:52	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:54	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:56	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:42:58	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:43:00	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:43:02	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-05-15, 09:43:04	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
