date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2021-05-15, 10:59:10	1500 Hz	19 W	5E-4 mbar	4E-4 mbar
2021-05-15, 10:59:12	1500 Hz	19 W	5,1E-4 mbar	4E-4 mbar
2021-05-15, 10:59:14	1500 Hz	19 W	5,8E-4 mbar	4,5E-4 mbar
2021-05-15, 10:59:16	1500 Hz	19 W	6E-4 mbar	4,5E-4 mbar
2021-05-15, 10:59:18	1500 Hz	20 W	6E-4 mbar	4,5E-4 mbar
2021-05-15, 10:59:20	1500 Hz	20 W	5,9E-4 mbar	4,5E-4 mbar
2021-05-15, 10:59:22	1500 Hz	19 W	6E-4 mbar	4,5E-4 mbar
2021-05-15, 10:59:24	1500 Hz	20 W	6E-4 mbar	4,5E-4 mbar
2021-05-15, 10:59:26	1500 Hz	19 W	6E-4 mbar	5E-4 mbar
2021-05-15, 10:59:28	1500 Hz	19 W	6,2E-4 mbar	5E-4 mbar
2021-05-15, 10:59:30	1500 Hz	19 W	6,5E-4 mbar	5E-4 mbar
2021-05-15, 10:59:32	1500 Hz	20 W	6,5E-4 mbar	5,5E-4 mbar
2021-05-15, 10:59:34	1500 Hz	20 W	6,6E-4 mbar	5,5E-4 mbar
2021-05-15, 10:59:36	1500 Hz	20 W	6,6E-4 mbar	5,5E-4 mbar
2021-05-15, 10:59:38	1500 Hz	20 W	6,6E-4 mbar	5,5E-4 mbar
2021-05-15, 10:59:40	1500 Hz	19 W	6,6E-4 mbar	5,5E-4 mbar
2021-05-15, 10:59:42	1500 Hz	19 W	6,6E-4 mbar	5,5E-4 mbar
2021-05-15, 10:59:44	1500 Hz	20 W	6,6E-4 mbar	5,5E-4 mbar
2021-05-15, 10:59:46	1500 Hz	20 W	6,6E-4 mbar	5,5E-4 mbar
2021-05-15, 10:59:48	1500 Hz	20 W	6,6E-4 mbar	5,5E-4 mbar
2021-05-15, 10:59:50	1500 Hz	20 W	6,7E-4 mbar	5,5E-4 mbar
2021-05-15, 10:59:52	1500 Hz	21 W	8,1E-4 mbar	6E-4 mbar
2021-05-15, 10:59:54	1500 Hz	20 W	8,3E-4 mbar	6E-4 mbar
2021-05-15, 10:59:56	1500 Hz	20 W	8,4E-4 mbar	6E-4 mbar
2021-05-15, 10:59:58	1500 Hz	20 W	8,3E-4 mbar	6E-4 mbar
2021-05-15, 11:00:00	1500 Hz	20 W	8,4E-4 mbar	6E-4 mbar
2021-05-15, 11:00:02	1500 Hz	21 W	8,3E-4 mbar	6E-4 mbar
2021-05-15, 11:00:04	1500 Hz	21 W	8,3E-4 mbar	6E-4 mbar
2021-05-15, 11:00:06	1500 Hz	21 W	8,4E-4 mbar	6E-4 mbar
2021-05-15, 11:00:08	1500 Hz	20 W	8,4E-4 mbar	6E-4 mbar
2021-05-15, 11:00:10	1500 Hz	20 W	8,3E-4 mbar	6E-4 mbar
2021-05-15, 11:00:12	1500 Hz	20 W	8,4E-4 mbar	6E-4 mbar
2021-05-15, 11:00:14	1500 Hz	20 W	9,3E-4 mbar	7E-4 mbar
2021-05-15, 11:00:16	1500 Hz	21 W	1E-3 mbar	7,5E-4 mbar
2021-05-15, 11:00:18	1500 Hz	21 W	1E-3 mbar	7,5E-4 mbar
2021-05-15, 11:00:20	1500 Hz	22 W	1E-3 mbar	7,5E-4 mbar
2021-05-15, 11:00:22	1500 Hz	21 W	1E-3 mbar	7,5E-4 mbar
2021-05-15, 11:00:24	1500 Hz	21 W	1E-3 mbar	7,5E-4 mbar
2021-05-15, 11:00:26	1500 Hz	21 W	1E-3 mbar	7,5E-4 mbar
2021-05-15, 11:00:28	1500 Hz	21 W	1E-3 mbar	7,5E-4 mbar
2021-05-15, 11:00:30	1500 Hz	21 W	1E-3 mbar	7,5E-4 mbar
2021-05-15, 11:00:32	1500 Hz	22 W	1E-3 mbar	7,5E-4 mbar
2021-05-15, 11:00:34	1500 Hz	21 W	1E-3 mbar	7,5E-4 mbar
2021-05-15, 11:00:36	1500 Hz	22 W	1E-3 mbar	8E-4 mbar
2021-05-15, 11:00:38	1500 Hz	21 W	1E-3 mbar	9E-4 mbar
2021-05-15, 11:00:40	1500 Hz	23 W	1E-3 mbar	9E-4 mbar
2021-05-15, 11:00:42	1500 Hz	23 W	1E-3 mbar	9,5E-4 mbar
2021-05-15, 11:00:44	1500 Hz	22 W	1E-3 mbar	9,5E-4 mbar
2021-05-15, 11:00:46	1500 Hz	22 W	1E-3 mbar	9,5E-4 mbar
2021-05-15, 11:00:48	1500 Hz	22 W	1E-3 mbar	9,5E-4 mbar
2021-05-15, 11:00:50	1500 Hz	23 W	1E-3 mbar	9,5E-4 mbar
2021-05-15, 11:00:52	1500 Hz	23 W	1E-3 mbar	9,5E-4 mbar
2021-05-15, 11:00:54	1500 Hz	23 W	1E-3 mbar	9,5E-4 mbar
2021-05-15, 11:00:56	1500 Hz	23 W	1E-3 mbar	1E-3 mbar
2021-05-15, 11:00:58	1500 Hz	24 W	1,2E-3 mbar	1,2E-3 mbar
2021-05-15, 11:01:00	1500 Hz	24 W	1,2E-3 mbar	1,2E-3 mbar
2021-05-15, 11:01:02	1500 Hz	24 W	1,2E-3 mbar	1,2E-3 mbar
2021-05-15, 11:01:04	1500 Hz	24 W	1,2E-3 mbar	1,2E-3 mbar
2021-05-15, 11:01:06	1500 Hz	23 W	1,2E-3 mbar	1,2E-3 mbar
2021-05-15, 11:01:08	1500 Hz	23 W	1,2E-3 mbar	1,2E-3 mbar
2021-05-15, 11:01:10	1500 Hz	24 W	1,3E-3 mbar	1,5E-3 mbar
2021-05-15, 11:01:12	1500 Hz	26 W	1,5E-3 mbar	1,5E-3 mbar
2021-05-15, 11:01:14	1500 Hz	26 W	1,5E-3 mbar	1,5E-3 mbar
2021-05-15, 11:01:16	1500 Hz	26 W	1,5E-3 mbar	1,6E-3 mbar
2021-05-15, 11:01:18	1500 Hz	25 W	1,5E-3 mbar	1,6E-3 mbar
2021-05-15, 11:01:20	1500 Hz	25 W	1,5E-3 mbar	1,6E-3 mbar
2021-05-15, 11:01:22	1500 Hz	27 W	1,5E-3 mbar	1,6E-3 mbar
2021-05-15, 11:01:24	1500 Hz	27 W	1,9E-3 mbar	1,8E-3 mbar
2021-05-15, 11:01:26	1500 Hz	27 W	2E-3 mbar	1,9E-3 mbar
2021-05-15, 11:01:28	1500 Hz	28 W	2,1E-3 mbar	1,9E-3 mbar
2021-05-15, 11:01:30	1500 Hz	27 W	2,1E-3 mbar	1,9E-3 mbar
2021-05-15, 11:01:32	1500 Hz	28 W	2,1E-3 mbar	1,9E-3 mbar
2021-05-15, 11:01:34	1500 Hz	28 W	2E-3 mbar	2E-3 mbar
2021-05-15, 11:01:36	1500 Hz	28 W	2E-3 mbar	2E-3 mbar
2021-05-15, 11:01:38	1500 Hz	27 W	2E-3 mbar	2E-3 mbar
2021-05-15, 11:01:40	1500 Hz	29 W	2,2E-3 mbar	2,3E-3 mbar
2021-05-15, 11:01:42	1500 Hz	31 W	2,5E-3 mbar	2,3E-3 mbar
2021-05-15, 11:01:44	1500 Hz	31 W	2,4E-3 mbar	2,4E-3 mbar
2021-05-15, 11:01:46	1500 Hz	30 W	2,4E-3 mbar	2,4E-3 mbar
2021-05-15, 11:01:48	1500 Hz	29 W	2,5E-3 mbar	2,4E-3 mbar
2021-05-15, 11:01:50	1500 Hz	29 W	2,5E-3 mbar	2,4E-3 mbar
2021-05-15, 11:01:52	1500 Hz	29 W	2,5E-3 mbar	2,4E-3 mbar
2021-05-15, 11:01:54	1500 Hz	30 W	2,5E-3 mbar	2,4E-3 mbar
2021-05-15, 11:01:56	1500 Hz	30 W	2,5E-3 mbar	2,4E-3 mbar
